"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Total","Total","All Locality Types","Western","Both sexes",219936,199808,189323,171290,143980
"Total","Total","All Locality Types","Western","Male",110982,101786,95127,88500,74455
"Total","Total","All Locality Types","Western","Female",108954,98022,94196,82790,69525
"Total","Total","All Locality Types","Wassa Amenfi Central","Both sexes",11755,11935,11347,9565,7413
"Total","Total","All Locality Types","Wassa Amenfi Central","Male",6362,6343,6166,5298,4039
"Total","Total","All Locality Types","Wassa Amenfi Central","Female",5393,5592,5181,4267,3374
"Total","Total","All Locality Types","Central","Both sexes",323110,262211,231947,207024,185422
"Total","Total","All Locality Types","Central","Male",159798,126592,109912,99706,88785
"Total","Total","All Locality Types","Central","Female",163312,135619,122035,107318,96637
"Total","Total","All Locality Types","Gomoa Central","Both sexes",8501,7301,6854,5925,5271
"Total","Total","All Locality Types","Gomoa Central","Male",4183,3310,3123,2765,2378
"Total","Total","All Locality Types","Gomoa Central","Female",4318,3991,3731,3160,2893
"Total","Total","All Locality Types","Greater Accra","Both sexes",481265,534129,550237,532935,457263
"Total","Total","All Locality Types","Greater Accra","Male",230795,258787,265346,259719,224236
"Total","Total","All Locality Types","Greater Accra","Female",250470,275342,284891,273216,233027
"Total","Total","All Locality Types","Ga Central Municipal","Both sexes",28779,30673,32891,32923,28493
"Total","Total","All Locality Types","Ga Central Municipal","Male",13752,14850,15437,15634,13805
"Total","Total","All Locality Types","Ga Central Municipal","Female",15027,15823,17454,17289,14688
"Total","Total","All Locality Types","Ablekuma Central Municipal","Both sexes",14303,16338,16698,15454,13971
"Total","Total","All Locality Types","Ablekuma Central Municipal","Male",6909,7966,8171,7444,6877
"Total","Total","All Locality Types","Ablekuma Central Municipal","Female",7394,8372,8527,8010,7094
"Total","Total","All Locality Types","Ayawaso Central Municipal","Both sexes",8122,9958,10009,9026,7817
"Total","Total","All Locality Types","Ayawaso Central Municipal","Male",3820,4956,5031,4405,3869
"Total","Total","All Locality Types","Ayawaso Central Municipal","Female",4302,5002,4978,4621,3948
"Total","Total","All Locality Types","TMA-Tema Central","Both sexes",5412,6301,6537,6386,5716
"Total","Total","All Locality Types","TMA-Tema Central","Male",2532,2988,3309,3076,2730
"Total","Total","All Locality Types","TMA-Tema Central","Female",2880,3313,3228,3310,2986
"Total","Total","All Locality Types","Volta","Both sexes",188282,140665,119300,113874,102229
"Total","Total","All Locality Types","Volta","Male",93921,68258,55229,52995,48299
"Total","Total","All Locality Types","Volta","Female",94361,72407,64071,60879,53930
"Total","Total","All Locality Types","Central Tongu","Both sexes",9493,7039,5701,5344,4650
"Total","Total","All Locality Types","Central Tongu","Male",4780,3415,2619,2465,2111
"Total","Total","All Locality Types","Central Tongu","Female",4713,3624,3082,2879,2539
"Total","Total","All Locality Types","Eastern","Both sexes",340150,244865,220702,205574,191385
"Total","Total","All Locality Types","Eastern","Male",168313,119715,104419,99290,93783
"Total","Total","All Locality Types","Eastern","Female",171837,125150,116283,106284,97602
"Total","Total","All Locality Types","Birim Central Municipal","Both sexes",9680,7808,6310,5614,5048
"Total","Total","All Locality Types","Birim Central Municipal","Male",4661,3578,2753,2550,2384
"Total","Total","All Locality Types","Birim Central Municipal","Female",5019,4230,3557,3064,2664
"Total","Total","All Locality Types","Upper West Akim","Both sexes",9882,7609,6524,6309,6047
"Total","Total","All Locality Types","Upper West Akim","Male",4972,3669,3148,2976,2929
"Total","Total","All Locality Types","Upper West Akim","Female",4910,3940,3376,3333,3118
"Total","Total","All Locality Types","Ashanti","Both sexes",623141,535163,462782,410318,359319
"Total","Total","All Locality Types","Ashanti","Male",307518,265192,222948,199571,174860
"Total","Total","All Locality Types","Ashanti","Female",315623,269971,239834,210747,184459
"Total","Total","All Locality Types","Amansie Central","Both sexes",9303,8421,8241,6914,5977
"Total","Total","All Locality Types","Amansie Central","Male",4883,4342,4483,3779,3215
"Total","Total","All Locality Types","Amansie Central","Female",4420,4079,3758,3135,2762
"Total","Total","All Locality Types","Asante Akim Central Municipal","Both sexes",11171,8192,7777,7260,6299
"Total","Total","All Locality Types","Asante Akim Central Municipal","Male",5377,3855,3682,3551,3051
"Total","Total","All Locality Types","Asante Akim Central Municipal","Female",5794,4337,4095,3709,3248
"Total","Total","All Locality Types","Ahafo Ano South West","Both sexes",7396,5407,4910,4463,4022
"Total","Total","All Locality Types","Ahafo Ano South West","Male",3836,2646,2462,2179,2031
"Total","Total","All Locality Types","Ahafo Ano South West","Female",3560,2761,2448,2284,1991
"Total","Total","All Locality Types","Ahafo Ano North Municipal","Both sexes",11342,8499,6877,6167,5731
"Total","Total","All Locality Types","Ahafo Ano North Municipal","Male",5779,3873,3224,3069,2964
"Total","Total","All Locality Types","Ahafo Ano North Municipal","Female",5563,4626,3653,3098,2767
"Total","Total","All Locality Types","Ahafo Ano South East","Both sexes",6940,5045,4444,3903,3697
"Total","Total","All Locality Types","Ahafo Ano South East","Male",3671,2481,2137,1924,1772
"Total","Total","All Locality Types","Ahafo Ano South East","Female",3269,2564,2307,1979,1925
"Total","Total","All Locality Types","Sekyere Central","Both sexes",8880,6162,5384,4651,3956
"Total","Total","All Locality Types","Sekyere Central","Male",4587,3123,2576,2263,1986
"Total","Total","All Locality Types","Sekyere Central","Female",4293,3039,2808,2388,1970
"Total","Total","All Locality Types","Western North","Both sexes",97931,84216,75602,67415,59225
"Total","Total","All Locality Types","Western North","Male",50397,41590,36776,34292,30770
"Total","Total","All Locality Types","Western North","Female",47534,42626,38826,33123,28455
"Total","Total","All Locality Types","Ahafo","Both sexes",64452,52446,44850,40206,36080
"Total","Total","All Locality Types","Ahafo","Male",32392,25410,21978,20258,18432
"Total","Total","All Locality Types","Ahafo","Female",32060,27036,22872,19948,17648
"Total","Total","All Locality Types","Bono","Both sexes",132974,124653,101897,90636,78817
"Total","Total","All Locality Types","Bono","Male",67299,62936,49029,43680,38297
"Total","Total","All Locality Types","Bono","Female",65675,61717,52868,46956,40520
"Total","Total","All Locality Types","Dormaa Central Municipal","Both sexes",12456,10765,9038,8171,7332
"Total","Total","All Locality Types","Dormaa Central Municipal","Male",6446,5353,4248,3830,3567
"Total","Total","All Locality Types","Dormaa Central Municipal","Female",6010,5412,4790,4341,3765
"Total","Total","All Locality Types","Bono East","Both sexes",130837,121608,100615,86619,72744
"Total","Total","All Locality Types","Bono East","Male",67353,60004,48405,42830,36228
